vernacular	tree	leaf	tlp	area_excluded	area_included	lt	sw	dw
CEDRU	123	4	NA	29.190316742081443	29.191710407239817	0.249	0.85	0.3385
CEDRU	123	5	NA	28.764412669683253	28.76469140271493	0.25666666666666665	0.86	0.3591
CEDRU	278	3	NA	33.04296470588235	33.076970135746606	0.20366666666666663	0.73	0.3036
CEDRU	278	4	NA	29.55880180995475	29.580542986425336	0.197	0.67	0.234
CEDRU	278	5	NA	27.37464977375565	27.396112217194567	0.21166666666666667	0.7	0.2861
CEDRU	292	3	NA	21.31973212669683	21.34035837104072	0.23933333333333337	0.58	0.2
CEDRU	292	4	NA	17.244097737556558	17.245212669683255	0.214	0.44	0.1421
CEDRU	292	5	NA	18.57365429864253	18.577277828054296	0.24033333333333332	0.47	0.1797
CEDRU	527	3	NA	26.527858823529407	26.56019185520362	0.26966666666666667	0.85	0.3222
CEDRU	527	4	NA	22.171819004524885	22.186591855203616	0.20866666666666667	0.49	0.1726
CEDRU	527	5	NA	20.54792036199095	20.580253393665156	0.22266666666666668	0.53	0.2002
CEDRU	1623	3	NA	31.769433484162896	31.778910407239817	0.23366666666666663	0.81	0.3296
CEDRU	1623	4	NA	25.822664253393665	25.822942986425335	0.22933333333333333	0.67	0.2791
CEDRU	1623	5	NA	23.69676742081447	23.703457013574656	0.216	0.57	0.2355
COPAI	6894	3	NA	50.98946968325791	51.11991674208144	0.17533333333333334	1.25	NA
COPAI	6894	4	NA	22.10715294117647	22.135304977375565	0.206	0.63	NA
COPAI	6897	3	NA	23.157419004524883	23.157419004524883	0.169	0.46	NA
COPAI	6897	4	NA	47.37820452488688	48.79082352941176	0.17933333333333332	1.09	0.5741
COPAI	6897	5	NA	28.98461176470588	28.99659728506787	0.18133333333333335	0.67	0.3459
COPAI	6898	3	NA	54.13357828054298	54.18625882352941	0.18666666666666668	1.19	0.6266
COPAI	6898	4	NA	55.6030588235294	55.83384977375565	0.192	1.26	0.6455
COPAI	6898	5	NA	47.32050678733031	47.41220995475113	0.17066666666666666	0.98	0.508
COPAI	6910	3	NA	8.756955656108596	8.757513122171945	0.158	0.16	0.0848
COPAI	6910	4	NA	4.949741176470588	4.949741176470588	0.217	0.14	0.0584
COPAI	6910	5	NA	9.701860633484165	9.701860633484165	0.20733333333333337	0.25	0.1231
CUPIU	8116	1	NA	35.03395475113122	35.12844524886877	NA	NA	0.3356
CUPIU	8116	2	NA	33.3676886877828	33.45967058823529	NA	NA	0.3161
CUPIU	8116	3	NA	43.357201809954745	43.35775927601809	NA	NA	0.447
CUPIU	8116	4	NA	39.01091764705882	39.01091764705882	NA	NA	0.4083
CUPIU	8116	5	NA	43.86115113122172	43.86115113122172	NA	NA	0.4394
CUPIU	8188	1	NA	13.8675257918552	13.95811402714932	NA	NA	0.1171
CUPIU	8188	2	NA	11.145976470588234	11.245205429864251	NA	NA	0.0964
CUPIU	8188	3	NA	12.576713122171943	12.576713122171943	NA	NA	0.10780000000000001
CUPIU	8188	4	NA	4.804242533936652	4.804521266968325	NA	NA	0.0291
CUPIU	8188	5	NA	19.329020814479637	19.329020814479637	NA	NA	0.2095
CUPIU	8383	1	NA	39.50539004524886	39.79722352941176	NA	NA	NA
CUPIU	8383	2	NA	32.0827294117647	32.19338642533936	NA	NA	NA
CUPIU	8383	3	NA	14.295659728506786	14.308202714932126	NA	NA	NA
CUPIU	8383	4	NA	24.622718552036197	24.622718552036197	NA	NA	NA
CUPIU	8383	5	NA	21.8225665158371	21.83037104072398	NA	NA	NA
CUPIU	8452	3	NA	21.296876018099542	21.296876018099542	NA	NA	0.1235
CUPIU	8452	4	NA	26.315464253393664	26.315464253393664	NA	NA	0.2476
CUPIU	8452	5	NA	16.531934841628956	16.531934841628956	NA	NA	0.1286
CUPIU	9103	3	NA	14.20785882352941	14.20785882352941	NA	NA	0.0754
CUPIU	9103	4	NA	12.262023529411763	12.262023529411763	NA	NA	0.1241
CUPIU	9103	5	NA	13.58461176470588	13.58461176470588	NA	NA	0.1348
FAVA	5455	1	NA	39.480582805429854	39.66454660633483	0.184	1.07	NA
FAVA	6513	1	NA	29.98554208144796	30.017038914027143	0.15266666666666667	1.12	0.5098
FAVA	6513	2	NA	52.41268054298642	52.544799999999995	0.201	1.59	0.7114
FAVA	6513	3	NA	37.92943348416289	37.98183529411765	0.16866666666666666	1.34	0.5787
FAVA	6513	4	NA	28.99380995475113	29.028094117647058	0.19966666666666663	0.96	0.4173
FAVA	6513	5	NA	86.63050497737555	92.35038552036195	0.24366666666666667	2.42	1.169
FAVAO	5685	1	NA	72.79865701357465	75.56173755656108	0.195	1.51	0.6095
FAVAO	5685	2	NA	132.56933212669682	137.4992832579185	0.21733333333333335	3.43	1.5153
FAVAO	5685	3	NA	124.13598552036196	130.47911312217192	0.23766666666666664	3.5	1.6533
FAVAO	5685	4	NA	97.31545701357464	102.74907873303168	0.21466666666666667	2.76	1.2005
FAVAO	5685	5	NA	68.54965067873302	70.34134660633484	0.264	1.74	0.818
FREIJ	6416	3	NA	23.113657918552033	23.113657918552033	0.23566666666666664	0.47	NA
FREIJ	6416	4	NA	17.22820995475113	17.235735746606334	0.25133333333333335	0.42	NA
FREIJ	6416	5	NA	19.570124886877828	19.572912217194567	0.203	0.37	NA
FREIJ	6564	3	NA	66.25428416289591	66.26264615384615	0.23133333333333336	1.37	0.5528
FREIJ	6564	4	NA	31.895420814479632	31.896257013574655	0.2613333333333333	0.77	0.3131
FREIJ	6564	5	NA	29.043424434389134	29.043424434389134	0.252	0.75	0.2976
FREIJ	7121	3	NA	42.489784615384615	42.51933031674208	0.268	1.06	0.4291
FREIJ	7121	4	NA	39.34205248868778	39.34818461538461	0.25166666666666665	0.87	0.3769
FREIJ	7121	5	NA	86.87467511312217	86.88303710407239	0.28833333333333333	2.26	0.9477
FREIJ	7134	3	NA	114.43440361990947	114.46088325791854	0.253	2.58	NA
FREIJ	7134	4	NA	72.71893936651583	72.85356742081447	0.37766666666666665	2.56	0.9362
FREIJ	7134	5	NA	112.66500633484162	112.86653031674206	0.42633333333333334	3.71	1.5863
JARAN	4646	3	NA	84.62975927601809	85.68309140271492	0.1673333333333333	1.73	0.609
JARAN	4646	4	NA	161.2534696832579	162.65243076923076	0.182	3.33	1.4013
JARAN	4646	5	NA	73.25243438914026	73.65158009049773	0.175	1.46	0.623
JARAN	6248	3	NA	91.26360542986426	91.82720361990948	0.18666666666666668	1.66	0.7988
JARAN	6248	4	NA	85.24548054298641	85.24631674208143	0.17	1.61	0.7335
JARAN	6248	5	NA	36.86188597285067	37.03804524886878	0.27	0.66	0.3136
JARAN	6515	3	NA	48.36854298642533	48.538848868778274	0.23566666666666664	0.96	0.2357
JARAN	6515	4	NA	47.77093936651583	47.945426244343885	0.248	1.06	0.2439
JARAN	6515	5	NA	49.03164886877828	49.11276018099547	0.24733333333333335	0.89	0.2278
JARAN	6517	3	NA	72.11018642533936	72.1182696832579	0.18166666666666667	1.25	0.5758
JARAN	6517	4	NA	68.71382443438914	68.78155656108596	0.15	1.04	0.4972
JARAN	6517	5	NA	136.3801701357466	136.70377918552035	0.13233333333333333	2.15	1.0234
JARAN	6947	3	NA	46.38786606334841	46.489603619909495	0.19766666666666663	1.12	0.6265
JARAN	6947	4	NA	41.25304615384615	41.25416108597285	0.224	0.93	0.5554
JARAN	6947	5	NA	50.05013936651583	50.05209049773755	0.19833333333333333	1.24	0.715
JUTAI	5961	3	NA	17.044524886877827	17.045082352941176	0.19366666666666665	0.22	0.1006
JUTAI	5961	4	NA	20.159366515837103	20.16187511312217	0.211	0.3	0.1235
JUTAI	5961	5	NA	16.030215384615385	16.031887782805427	0.182	0.24	0.0927
PARAP	1391	3	NA	27.79497918552036	27.801947511312218	0.22766666666666668	0.71	0.3308
PARAP	1391	4	NA	100.05428778280542	100.13595656108598	0.246	2.57	1.1499
PARAP	2035	3	NA	111.88845610859728	111.9099185520362	0.37166666666666665	4.23	1.9654
PARAP	2035	4	NA	120.83940995475112	120.9444923076923	0.2846666666666667	4.01	1.7414
PARAP	2035	5	NA	82.21035656108596	82.21955475113121	0.336	2.74	1.2572
PARAP	5375	3	NA	56.60148054298642	56.611793665158366	0.22466666666666668	1.58	0.6851
PARAP	5375	4	NA	186.74360542986423	187.38998733031673	0.22866666666666668	5.04	2.2577
PARAP	5375	5	NA	103.78652307692306	103.79293393665156	0.23266666666666663	3.33	1.491
PARAP	5887	3	NA	47.948771040723976	47.9657737556561	0.235	1.37	NA
PARAP	5887	4	NA	33.587330316742076	33.60015203619909	0.26933333333333337	1.06	NA
PARAP	5887	5	NA	29.031996380090497	29.03339004524887	0.24266666666666667	0.78	0.3672
PEQUI	5950	1	NA	171.97382081447964	172.17562352941175	0.19733333333333333	3.12	NA
PEQUI	5950	2	NA	133.89359276018098	134.9934733031674	0.23566666666666664	2.59	NA
PEQUI	5950	3	NA	194.9107619909502	195.12984615384613	0.19333333333333333	3.71	NA
PEQUI	5950	4	NA	134.26152036199093	135.0062950226244	0.23266666666666663	2.74	1.2014
PEQUI	5950	5	NA	121.94040542986424	122.01845067873302	0.2	2.45	1.0995
PEQUI	5953	1	NA	115.07047239819003	115.07047239819003	0.19133333333333333	7.34	NA
PEQUI	5953	2	NA	189.73441085972848	189.85342986425337	0.18566666666666667	3.53	1.0633
PEQUI	5953	3	NA	164.6445357466063	164.657636199095	0.19033333333333333	3.32	NA
PEQUI	5953	4	NA	101.25980814479637	101.26594027149321	0.152	1.8	NA
PEQUI	5953	5	NA	89.70855384615385	89.72834389140272	0.15766666666666668	1.65	NA
PIQUI	5968	3	NA	174.99222081447962	174.99500814479637	0.15766666666666668	3.08	0.7643
PIQUI	5968	4	NA	321.0750877828054	322.34499547511314	0.21566666666666667	5.59	NA
PIQUI	5968	5	NA	92.16948778280542	92.4420886877828	0.19166666666666668	1.53	NA
PIQUI	5971	3	NA	105.8340959276018	108.51578642533936	0.293	1.5	NA
PIQUI	5971	4	NA	98.6949067873303	98.89308597285066	0.23933333333333337	1.62	NA
PIQUI	5971	5	NA	162.13677466063348	162.68894479638007	0.17833333333333334	2.65	NA
PIQUI	6510	3	NA	30.31667692307692	30.320857918552033	0.42333333333333334	0.73	0.2923
PIQUI	6510	4	NA	26.82220090497737	26.82220090497737	0.48633333333333334	0.6	0.2463
PIQUI	6510	5	NA	35.853151131221715	35.86290678733032	0.29000000000000004	0.84	0.3214
QUARU	7333	3	NA	19.64900633484163	19.64900633484163	0.267	0.61	NA
QUARU	7333	4	NA	27.190685972850673	27.199884162895923	0.224	0.69	NA
QUARU	7333	5	NA	21.89224977375565	21.9025628959276	0.17833333333333334	0.42	0.124
QUARU	7334	3	NA	19.595210859728507	19.595768325791855	NA	NA	0.2727
QUARU	7334	4	NA	23.34472760180995	23.44479276018099	NA	NA	0.3509
QUARU	7334	5	NA	25.30812307692307	25.30812307692307	NA	NA	0.2537
QUARU	7541	3	NA	16.633114932126695	16.635066063348415	0.24333333333333332	0.43	0.2034
QUARU	7541	4	NA	17.801006334841627	17.8012850678733	0.24333333333333332	0.49	0.2001
QUARU	7541	5	NA	12.970841628959274	12.973907692307687	0.24833333333333332	0.33	0.1595
QUARU	7589	3	NA	21.79525067873303	21.800267873303163	0.25966666666666666	0.55	0.2625
QUARU	7589	4	NA	18.79468959276018	18.79468959276018	0.274	0.58	0.2795
QUARU	7589	5	NA	21.165035294117644	21.16531402714932	0.2713333333333333	0.65	0.2849
QUARU	8499	3	NA	22.89485248868778	22.895131221719456	0.22433333333333333	0.58	0.2624
QUARU	8499	4	NA	15.914262443438911	15.914262443438911	0.21666666666666667	0.4	0.1641
QUARU	8499	5	NA	18.202939366515835	18.204054298642532	0.22433333333333333	0.42	0.1903
VIROL	6404	3	NA	49.153176470588235	49.153176470588235	0.12966666666666668	0.83	NA
VIROL	6404	4	NA	36.10066606334841	36.115160180995474	0.14166666666666666	0.64	NA
VIROL	6631	3	NA	13.937209049773754	13.937487782805428	0.201	0.25	0.0988
VIROL	6631	4	NA	14.724629864253393	14.72518733031674	0.20133333333333336	0.28	0.1075
VIROL	6631	5	NA	16.759380995475112	16.759659728506787	0.194	0.28	NA
VIROL	6632	3	NA	45.866356561085965	45.97896470588235	0.15066666666666667	0.87	0.3977
VIROL	6632	4	NA	43.73070407239819	43.73070407239819	0.17133333333333334	0.95	0.3892
VIROL	6632	5	NA	25.07287239819004	25.09321990950226	0.18566666666666667	0.48	0.2193
VIROL	6636	3	NA	32.74444162895927	32.74444162895927	0.241	0.67	0.2635
VIROL	6636	4	NA	19.31313303167421	19.31313303167421	0.18233333333333332	0.36	0.1489
VIROL	6636	5	NA	31.507145701357462	31.507145701357462	0.24966666666666668	0.65	0.2896
VIROL	6637	3	NA	29.887706787330316	29.887706787330316	0.208	0.69	0.3422
VIROL	6637	4	NA	37.05281809954751	37.05281809954751	0.21666666666666667	0.79	0.3847
VIROL	6637	5	NA	27.509835294117643	27.509835294117643	0.18133333333333332	0.54	0.2589
QUARU	7734	1	NA	NA	NA	0.264	0.86	NA
QUARU	7734	2	NA	NA	NA	0.253	0.69	NA
QUARU	7734	3	NA	NA	NA	0.254	0.58	NA
QUARU	7734	4	NA	NA	NA	0.274	0.74	NA
QUARU	7734	5	NA	NA	NA	0.22766666666666668	0.62	NA
CUPUI	8833	3	NA	NA	NA	0.21366666666666667	0.36	NA
CUPUI	8833	4	NA	NA	NA	0.155	0.37	NA
CUPUI	8833	5	NA	NA	NA	0.18	0.45	NA
CUPUI	8188	3	NA	NA	NA	0.21266666666666667	0.26	NA
CUPUI	8188	4	NA	NA	NA	0.19266666666666665	NA	NA
CUPUI	8188	5	NA	NA	NA	0.262	0.51	NA
CUPUI	8116	3	NA	NA	NA	0.238	1.08	NA
CUPUI	8116	4	NA	NA	NA	0.228	0.96	NA
CUPUI	8116	5	NA	NA	NA	0.22533333333333333	1.1	NA
CUPUI	9103	1	NA	NA	NA	0.16333333333333333	0.42	NA
CUPUI	9103	2	NA	NA	NA	0.17933333333333332	0.29	NA
CUPUI	9103	3	NA	NA	NA	0.128	0.19	NA
CUPUI	9103	4	NA	NA	NA	0.199	0.27	NA
CUPUI	9103	5	NA	NA	NA	0.19333333333333333	0.29	NA
CUPUI	8452	1	NA	NA	NA	0.16933333333333334	0.78	NA
CUPUI	8452	2	NA	NA	NA	0.14733333333333332	0.56	NA
CUPUI	8452	3	NA	NA	NA	0.14533333333333331	0.32	NA
CUPUI	8452	4	NA	NA	NA	0.19466666666666663	0.57	NA
CUPUI	8452	5	NA	NA	NA	0.17466666666666666	0.32	NA
CASTA	6617	1	NA	NA	NA	NA	NA	0.7958
CASTA	6617	4	NA	NA	NA	NA	NA	1.0985
FREIJ	7134	3	NA	NA	NA	NA	NA	0.9806
QUARU	7333	3	NA	NA	NA	NA	NA	0.2691
QUARU	7333	4	NA	NA	NA	NA	NA	0.2198
VIROL	6404	1	NA	NA	NA	NA	NA	0.3567
VIROL	6404	2	NA	NA	NA	NA	NA	0.2564
VIROL	6404	3	NA	NA	NA	NA	NA	0.2038
VIROL	6404	4	NA	NA	NA	NA	NA	0.1925
COPAI	6894	3	NA	NA	NA	NA	NA	0.6289
COPAI	6894	4	NA	NA	NA	NA	NA	0.319
COPAI	6897	3	NA	NA	NA	NA	NA	0.2669
CASTA	6617	2	NA	NA	NA	NA	NA	0.9433
CASTA	6617	3	NA	NA	NA	NA	NA	2.166
CASTA	6617	5	NA	NA	NA	NA	NA	1.1787
PARAP	5887	4	NA	NA	NA	NA	NA	0.5052
PARAP	5887	2	NA	NA	NA	NA	NA	0.9705
PARAP	5887	3	NA	NA	NA	NA	NA	0.6603
PARAP	1391	2	NA	NA	NA	NA	NA	0.5823
PARAP	2035	2	NA	NA	NA	NA	NA	1.8123
PARAP	276	2	NA	NA	NA	NA	NA	0.4095
PARAP	276	1	NA	NA	NA	NA	NA	0.4571
VIROL	6631	1	NA	NA	NA	NA	NA	0.1313
VIROL	6631	2	NA	NA	NA	NA	NA	0.1105
VIROL	6631	5	NA	NA	NA	NA	NA	0.1221
PIQUI	6510	1	NA	NA	NA	NA	NA	0.347
PIQUI	6510	2	NA	NA	NA	NA	NA	0.4688
PIQUI	5968	4	NA	NA	NA	NA	NA	1.9573
PIQUI	5968	5	NA	NA	NA	NA	NA	0.4636
PIQUI	5971	3	NA	NA	NA	NA	NA	0.5421
PIQUI	5971	4	NA	NA	NA	NA	NA	0.464
PIQUI	5971	5	NA	NA	NA	NA	NA	0.7698
FAVA	5455	1	NA	NA	NA	NA	NA	0.4825
FREIJ	6416	5	NA	NA	NA	NA	NA	0.0837
FREIJ	6416	4	NA	NA	NA	NA	NA	0.1002
FREIJ	6416	3	NA	NA	NA	NA	NA	0.1186
FREIJ	6416	2	NA	NA	NA	NA	NA	0.3487
FREIJ	6416	1	NA	NA	NA	NA	NA	0.1548
CUPIU	8833	1	NA	NA	NA	NA	NA	0.3746
CUPIU	8833	2	NA	NA	NA	NA	NA	0.3312
CUPIU	8833	3	NA	NA	NA	NA	NA	0.1358
CUPIU	8833	4	NA	NA	NA	NA	NA	0.1683
CUPIU	8833	5	NA	NA	NA	NA	NA	0.1445
PEQUI	5953	1	NA	NA	NA	NA	NA	2.2601
PEQUI	5953	3	NA	NA	NA	NA	NA	0.9644
PEQUI	5953	4	NA	NA	NA	NA	NA	0.5226
PEQUI	5953	5	NA	NA	NA	NA	NA	0.4692
PEQUI	5950	1	NA	NA	NA	NA	NA	1.3715
PEQUI	5950	2	NA	NA	NA	NA	NA	1.1203
PEQUI	5950	3	NA	NA	NA	NA	NA	1.577
