vernacular	tree	leaf	la	ldmc	lt	sla	tlp
CASTA	5744	1	89.72695022624433	0.5273684210526316	0.2813333333333333	74.81445856401827	-1.70636
CASTA	5744	2	162.03336470588232	0.5131713554987212	0.291	80.81507589023455	-1.95388
ANGEL	5677	1	158.64731583710406	0.5150373134328359	0.24533333333333335	58.42438606860663	-1.64604
ANGEL	5677	2	0	0.42455012853470436	0.19666666666666663	0	-1.5794800000000002
PIQUI	5950	1	NA	NA	NA	NA	-1.89148
PIQUI	5950	2	NA	NA	NA	NA	-1.879
PIQUI	5953	1	NA	NA	NA	NA	-1.6647599999999998
PIQUI	5953	2	NA	NA	NA	NA	-1.671
ANGEL	5663	1	202.776050678733	0.44434535104364326	0.27266666666666667	89.33300226447236	-1.53788
ANGEL	5663	2	151.46743167420811	0.46084985835694053	0.227	94.72451149134352	-1.6377199999999998
ANGEL	5993	1	116.26317104072396	0.5494637223974763	0.267	68.79159386269677	-2.03708
ANGEL	5993	2	69.85189140271493	0.5250526315789474	0.2733333333333334	70.99030796082542	-2.07036
JARAN	6517	1	161.69804886877827	0.47484429065743944	0.17066666666666666	117.88195330823206	-2.09324
JARAN	6517	2	63.44075294117646	0.4127906976744186	0.14966666666666667	178.98193869096934	-2.13484
VIROL	6632	1	61.14956742081447	0.44457627118644066	0.14266666666666666	116.77989521859361	-1.77084
VIROL	6632	2	42.70190045248869	0.39908045977011497	0.14733333333333334	123.4076047292366	-1.79996
ANGEL	6243	1	154.55384253393663	0.4690719696969697	0.32133333333333336	62.8603927975245	-2.3033200000000003
ANGEL	6243	2	111.80567239819004	0.4980115273775216	0.2816666666666667	68.84646203386608	-2.17852
FREIJ	6564	1	36.388876018099545	0.3946478873239437	0.303	130.0793938395651	-1.87692
FREIJ	6564	2	45.12381176470588	0.3942857142857143	0.25066666666666665	126.00706225376693	-1.6918
JARAN	6248	1	55.70730497737556	0.5205940594059406	0.19633333333333333	106.14756053692798	-2.0620399999999997
JARAN	6248	2	90.37388959276018	0.5336612021857924	0.25133333333333335	92.9397419989751	-2.0869999999999997
PIQUI	5968	1	97.00299728506786	0.28780487804878047	0.09766666666666668	205.81186440677962	-1.60028
PIQUI	5968	2	103.90303348416288	0.2647826086956522	0.165	243.96299846198423	-1.56284
CASTA	6568	1	309.393665158371	0.9377300613496933	0.20733333333333331	67.48712975338849	-1.89148
CASTA	6568	2	178.25367601809953	0.4800391772771792	0.209	36.377015066584484	-1.91644
VIROL	6636	1	22.27272036199095	0.414	0.19566666666666663	134.90443089164316	-2.0682799999999997
VIROL	6636	2	37.054490497737554	0.41880597014925375	0.17633333333333334	132.65745348525942	-2.0662000000000003
ANGEL	6528	1	99.34686334841628	0.4940314136125655	0.154	106.82511379352013	-2.12652
ANGEL	6528	2	114.99549321266969	0.48486363636363633	0.15833333333333333	109.47516148038925	-2.01836
JUTAI	5961	1	18.418678733031673	0.3822222222222222	0.14633333333333332	179.4722017608474	-1.5794800000000002
JUTAI	5961	2	22.36163619909502	0.413030303030303	0.136	164.7592381723839	-1.71468
JARAN	6515	1	47.21180090497737	0.2567948717948718	0.182	236.2133722493183	-1.3694000000000002
JARAN	6515	2	34.230367420814474	0.26671641791044776	0.27233333333333337	192.11054194825877	-1.36108
PIQUI	5971	1	134.89786787330314	0.35925133689839567	0.31533333333333335	201.88104895472284	-1.6481199999999998
PIQUI	5971	2	209.9626244343891	0.28516447368421055	0.4493333333333333	243.42984859453952	-1.57324
PIQUI	6510	1	33.11181176470588	NA	0.4443333333333333	NA	-1.77708
PIQUI	6510	2	42.42623348416289	NA	0.48633333333333334	NA	-1.7542
CASTA	6616	1	NA	NA	NA	NA	-1.89148
CASTA	6616	2	NA	NA	NA	NA	-2.02668
VIROL	6631	1	17.656343891402713	NA	0.24166666666666667	NA	-1.56908
VIROL	6631	2	15.562222624434389	NA	0.2526666666666667	NA	-1.38396
COPAI	6894	1	54.84044524886877	0.5303418803418805	0.17933333333333332	88.67888033661364	-1.97468
COPAI	6894	2	43.83829502262443	0.5272380952380952	0.18466666666666667	79.59398948552297	-2.02668
COPAI	6897	1	81.30698280542985	0.524559585492228	0.183	80.4534648190492	-2.13068
COPAI	6897	2	45.30554570135746	0.5322330097087379	0.17633333333333331	82.95383822992895	-2.17436
COPAI	6898	1	75.66180271493212	0.514320987654321	0.174	91.13954594726106	-2.50716
COPAI	6898	2	63.50151674208144	0.5278358208955224	0.17733333333333334	90.24637059034642	-2.56332
COPAI	6910	1	46.31177194570135	0.10357894736842106	0.169	474.41551705109805	-2.33244
COPAI	6910	1	46.31177194570135	0.5549473684210526	0.169	88.54796448753423	-2.33244
COPAI	6910	1	46.31177194570135	0.5466666666666667	0.14933333333333332	474.41551705109805	-2.33244
COPAI	6910	1	46.31177194570135	2.928888888888889	0.14933333333333332	88.54796448753423	-2.33244
COPAI	6910	2	57.212463348416286	0.0759504132231405	0.18133333333333332	627.0128361045598	-2.43228
COPAI	6910	2	57.212463348416286	0.55	0.18133333333333332	86.58524363337197	-2.43228
COPAI	6910	2	57.212463348416286	0.48368421052631577	0.2	627.0128361045598	-2.43228
COPAI	6910	2	57.212463348416286	3.5026315789473683	0.2	86.58524363337197	-2.43228
QUARU	7589	1	22.438566515837103	0.4832203389830509	0.266	78.97794375554498	-1.80412
QUARU	7589	2	18.634696832579184	0.45942307692307693	0.25133333333333335	78.4162706522542	-1.65228
FREIJ	7121	1	38.59950769230769	0.40270833333333333	0.265	100.05261322165858	-1.83116
FREIJ	7121	2	28.098798190045247	0.3932786885245902	0.242	117.46290969653644	-1.80828
VIROL	6637	1	37.62031855203619	0.4609677419354839	0.22033333333333333	87.9839312158087	-1.91644
VIROL	6637	2	25.23286515837104	0.4457627118644068	0.22633333333333333	96.23072449804724	-1.91852
FREIJ	7134	1	79.48072398190045	0.3801273885350318	0.237	133.40934455861122	-1.723
FREIJ	7134	2	136.26867692307692	0.406908077994429	0.274	93.42040560431771	-1.64188
QUARU	7334	1	29.994461538461536	NA	NA	79.10974219332049	-1.97676
QUARU	7334	2	26.674472398190044	NA	NA	80.28481400176216	-2.139
COPAI	6896	1	57.93020090497737	0.5235251798561151	0.19833333333333333	80.045446603287985	-2.3782
COPAI	6896	1	57.93020090497737	0.5235251798561151	0.19833333333333333	80.045446603287985	-2.45516
VIROL	6404	1	54.85689049773755	NA	0.152	NA	-1.463
VIROL	6404	2	51.64309864253393	NA	0.14233333333333334	NA	-1.36316
QUARU	7333	1	21.800267873303163	0.359016393442623	0.251	99.95570156408189	-1.67932
QUARU	7333	2	23.18055384615384	0.35080645161290325	0.242	106.97965985333124	-1.64604
CEDRU	123	1	34.245140271493206	0.43666666666666665	0.23433333333333337	84.64533956707717	-1.63356
CEDRU	123	2	31.388684162895924	0.43726315789473685	0.25166666666666665	75.8195448098872	-1.62732
PARAP	5375	1	108.77946787330316	0.4397879858657243	0.22133333333333333	87.48602578523838	-1.983
PARAP	5375	2	115.20593665158368	0.43453987730061355	0.213	81.4279809600835	-1.83948
PARAP	1391	1	104.67540271493212	0.43768253968253973	0.23333333333333336	76.01646380106907	-1.7958
PARAP	1391	2	48.02040542986425	NA	0.24233333333333337	NA	-1.78956
CEDRU	527	1	24.25869321266968	0.33044776119402985	0.21433333333333332	110.06807359174647	-1.3548399999999998
CEDRU	527	2	28.08569773755656	0.36681818181818177	0.26933333333333337	87.26036322450054	-1.40268
ANDIR	266	1	87.56537556561085	0.46089928057553964	0.29666666666666663	68.4624276885078	-1.81244
ANDIR	266	2	52.07764343891402	0.39088235294117646	0.30866666666666664	79.18157359835755	-1.8478
CEDRU	1623	1	32.52396380090497	0.41898876404494384	0.239	87.48210734259666	-1.8374
CEDRU	1623	2	28.48902443438914	0.33045454545454545	0.21333333333333332	131.04925508453303	-1.39228
PARAP	276	1	48.767131221719445	NA	0.168	NA	-1.5004399999999998
PARAP	276	2	51.555855203619906	NA	0.16999999999999998	NA	-1.3902
JARAN	6947	1	71.01866787330316	0.5686842105263158	0.17666666666666667	82.28202964523295	-2.45932
JARAN	6947	2	63.43852307692307	0.5660759493670886	0.20366666666666663	70.98218376383166	-2.29708
CEDRU	292	1	28.24011583710407	0.32506666666666667	0.225	116.2984420877583	-1.3798
CEDRU	292	2	24.310537556561084	0.32358208955223877	0.22866666666666668	112.91773388322116	-1.45884
ANDIR	661	1	130.25417556561086	0.4284858044164038	0.23166666666666663	95.99985875343911	-1.723
ANDIR	661	2	101.9825628959276	0.396271186440678	0.231	109.2244831603761	-1.73132
ANDIR	656	1	117.32430769230768	0.44259259259259254	0.232	89.31819231715859	-1.88732
ANDIR	656	2	77.8515294117647	0.35791907514450866	0.21466666666666667	126.01415927134121	-1.70012
ANDIR	270	1	72.26990045248868	0.43082352941176477	0.22166666666666668	98.79761572317871	-1.85612
ANDIR	270	2	84.07368687782805	0.38673684210526316	0.215	114.53469531525184	-1.68556
CEDRU	278	1	27.087276018099544	0.397258064516129	0.19966666666666663	110.54939071103003	-1.7438
CEDRU	278	2	31.35607239819004	0.376	0.19133333333333333	128.7292695751346	-1.62732
ANDIR	820	1	86.7478515837104	0.40009049773755656	0.22	98.228962755913	-1.74172
ANDIR	820	2	102.97318009049772	0.39823754789272037	0.2303333333333333	99.17387772444421	-1.671
PARAP	5887	1	64.31207239819004	0.4898564593301436	0.2693333333333333	63.18266346916243	-1.90812
PARAP	5887	2	61.219808144796374	NA	0.2866666666666667	NA	-1.90812
PARAP	2035	1	80.80749321266967	0.46846715328467153	0.3423333333333333	63.04000485061104	-1.7333999999999998
PARAP	2035	2	102.41655022624433	NA	0.37766666666666665	NA	-1.67724
CUPIU	9103	1	23.66136832579185	NA	NA	143.92637989957421	-1.98508
CUPIU	9103	2	14.697035294117644	NA	NA	107.53994025966345	-2.035
CUPIU	8452	1	40.90713846153846	NA	NA	166.25612179792748	-1.7854
CUPIU	8452	2	31.398718552036197	NA	NA	154.61195316875424	-1.61692
COPAI	6910	1	46.31177194570135	0.10357894736842106	0.169	474.41551705109805	-2.46764
COPAI	6910	1	46.31177194570135	0.5549473684210526	0.169	88.54796448753423	-2.46764
COPAI	6910	1	46.31177194570135	0.5466666666666667	0.14933333333333332	474.41551705109805	-2.46764
COPAI	6910	1	46.31177194570135	2.928888888888889	0.14933333333333332	88.54796448753423	-2.46764
COPAI	6910	2	57.212463348416286	0.0759504132231405	0.18133333333333332	627.0128361045598	-2.4094
COPAI	6910	2	57.212463348416286	0.55	0.18133333333333332	86.58524363337197	-2.4094
COPAI	6910	2	57.212463348416286	0.48368421052631577	0.2	627.0128361045598	-2.4094
COPAI	6910	2	57.212463348416286	3.5026315789473683	0.2	86.58524363337197	-2.4094
QUARU	7541	1	11.829708597285066	0.44843749999999993	0.234	83.07992495309568	-1.84156
QUARU	7541	2	12.15443257918552	0.4706451612903226	0.24	84.00963903249917	-1.77916
CUPUI	8116	1	NA	NA	0.226	NA	-1.86652
CUPUI	8116	2	NA	NA	0.20866666666666667	NA	-1.88732
CUPUI	8833	1	NA	NA	0.22733333333333333	NA	-1.5046
CUPUI	8833	2	NA	NA	0.22333333333333333	NA	-1.567
JARAN	4646	1	110.2369628959276	0.41360869565217395	0.17633333333333331	116.40510223447502	-1.65852
JARAN	4646	2	117.6395547511312	0.433956043956044	0.20233333333333337	100.5746984459093	-1.67516
FREIJ	6416	1	27.176191855203616	NA	0.25133333333333335	NA	-1.36316
FREIJ	6416	2	64.01494298642534	NA	0.25	NA	-1.36524
QUARU	8499	1	26.355601809954745	0.45890410958904115	0.238	78.93386641453365	-1.83116
QUARU	8499	2	24.155840723981896	0.4004918032786885	0.22133333333333333	99.30334893490127	-1.6647599999999998
CUPUI	8188	1	NA	NA	0.19433333333333333	NA	-1.88316
CUPUI	8188	2	NA	NA	0.21866666666666668	NA	-1.8686
ANDIR	266	3	73.62036199095022	0.46485106382978725	0.31433333333333335	67.39603446933232	NA
ANDIR	266	4	43.27804162895927	0.5317834394904458	0.328	51.844544202600474	NA
ANDIR	266	5	51.214964705882345	0.45780303030303027	0.24033333333333337	85.23289876548385	NA
ANDIR	270	3	50.693733936651576	0.36176991150442483	0.216	124.0130167978677	NA
ANDIR	270	4	89.5728108597285	0.35185430463576156	0.18433333333333332	168.59230113450062	NA
ANDIR	270	5	35.6048	0.37931506849315066	0.20833333333333331	128.6339351808729	NA
ANDIR	656	3	111.853614479638	0.41792452830188676	0.23233333333333336	100.99825337323676	NA
ANDIR	656	4	117.56429683257916	0.4366326530612245	0.2303333333333333	91.59127902693604	NA
ANDIR	656	5	108.43774117647058	0.4355849056603774	0.219	93.95691341797715	NA
ANDIR	661	3	66.25093936651582	0.44713513513513514	0.26533333333333337	80.09059401174542	NA
ANDIR	661	4	63.61022262443438	0.37453237410071943	0.217	122.20671240806378	NA
ANDIR	661	5	71.2528036199095	0.4153703703703704	0.22366666666666668	105.89576957707871	NA
ANDIR	820	3	81.37666606334841	0.4047979797979798	0.21366666666666667	101.53150625382835	NA
ANDIR	820	4	70.27640180995475	0.3928915662650603	0.21333333333333332	107.75711306389373	NA
ANDIR	820	5	76.75833846153846	0.3988383838383838	0.23233333333333336	97.20042378198491	NA
ANGEL	5663	3	74.2678588235294	0.44124137931034485	0.22566666666666668	118.65932651464892	NA
ANGEL	5663	4	176.27885248868776	0.4279317697228145	0.24266666666666667	89.1856817879503	NA
ANGEL	5663	5	176.27885248868776	0.46465909090909085	0.24333333333333332	145.91641260977931	NA
ANGEL	5677	3	173.32121628959274	0.433473282442748	0.201	154.50969342566646	NA
ANGEL	5677	4	0	0.4290223463687151	0.1993333333333333	0	NA
ANGEL	5677	5	230.655207239819	0.4357183908045977	0.18233333333333335	161.14254542568042	NA
ANGEL	5993	3	108.9433628959276	0.531869918699187	0.22033333333333333	85.02827397214794	NA
ANGEL	5993	4	93.53388597285064	0.546468085106383	0.22933333333333333	74.09931636929447	NA
ANGEL	5993	5	120.0539402714932	0.5106201550387597	0.20033333333333336	93.5604848986108	NA
ANGEL	6243	3	68.24053574660633	0.4810775862068966	0.295	61.73932905507663	NA
ANGEL	6243	4	82.49605791855203	0.47130742049469965	0.2996666666666667	62.49759642948496	NA
ANGEL	6243	5	54.274338461538456	0.4476646706586827	0.25866666666666666	73.81280187096445	NA
ANGEL	6528	3	129.0366696832579	0.5028968253968255	0.14666666666666667	104.42668258630866	NA
ANGEL	6528	4	101.43903348416288	0.5133160621761659	0.1683333333333333	104.0188796531727	NA
ANGEL	6528	5	157.4094624434389	0.49996551724137933	0.15733333333333333	110.9287874120824	NA
CASTA	5744	3	147.74829683257917	0.539975845410628	0.2836666666666667	66.1434543984309	NA
CASTA	5744	4	146.77997828054296	0.528910411622276	0.312	67.21097606143438	NA
CASTA	5744	5	75.73594570135747	0.4682882882882883	0.26466666666666666	72.85158057658792	NA
CASTA	6568	3	294.3808253393665	0.4660116448326055	0.159	92.03291952372439	NA
