Family,Species,Median Gmax,CV[log] Gmax,Median NCI,Median TWI,N trees,Median DBH,"DBH 0,95"
Anacardiaceae,Tapirira bethanniana,"1,49521","0,7874198547","2488,868297","1,889545381",12,"15,27887454","28,96619964"
Anacardiaceae,Tapirira guianensis,"1,714215","0,7349683568","2892,783961","1,717681289",126,"18,14366351","30,71690402"
Anacardiaceae,Tapirira obtusa,"1,440105","0,8763856228","2951,709885","1,756029129",117,"17,50704374","31,0352139"
Anacardiaceae,Thyrsodium puberulum,"0,9206115","1,02248999","2964,729887","1,40029943",17,"12,73239545","23,07746675"
Annonaceae,Annona exsucca,"1,363885","0,7895702323","2651,580636","1,744857311",21,"14,64225476","27,6929601"
Annonaceae,Duguetia calycina,"0,5366595","0,2654271763","2803,927516","1,710802436",14,"10,66338119","11,30000096"
Annonaceae,Guatteria schomburgkiana,"0,94745825","0,525826954","1946,643739","1,405635595",12,"14,32394488","23,23662169"
Annonaceae,Oxandra asbeckii,"0,4913315","0,4837146463","3485,040725","1,703516126",351,"10,98169107","13,20986028"
Annonaceae,Unonopsis rufescens,"0,5798615","0,6268286935","3565,500163","1,546640873",31,"11,30000096","13,36901522"
Annonaceae,Xylopia nitida,"1,54649","0,640090646","2022,766399","1,834125578",235,"16,2338042","22,60000192"
Apocynaceae,Ambelania acida,"0,575445","0,8074368141","3190,900252","1,658744454",15,"11,4591559","14,73774773"
Apocynaceae,Lacmellea aculeata,"0,741915","0,6689560852","3181,41008","1,701125622",13,"11,61831085","12,94725462"
Apocynaceae,Macoubea guianensis,"1,096995","1,041638778","3228,273521","1,697484374",15,"13,36901522","22,87056532"
Araliaceae,Didymopanax decaphyllus,"1,375645","0,8682480094","2996,275757","1,752274394",162,"16,55211408","28,64788976"
Arecaceae,Oenocarpus bacaba,"1,555435","1,599324859","3380,788892","1,450826764",29,"14,16478994","19,09859317"
Arecaceae,Oenocarpus bataua var. bataua,"3,001045","0,6195399798","2879,091149","1,892646909",26,"14,96056465","17,02957891"
Bignoniaceae,Jacaranda copaia subsp. copaia,"1,1188","1,046805478","2585,566989","1,789396226",160,"14,48309982","25,46479089"
Burseraceae,Dacryodes nitens,"0,74895325","0,8875366017","3289,438379","1,729010403",14,"11,61831085","15,35845201"
Burseraceae,Protium decandrum,"0,875488","1,780772891","3270,303626","1,13755548",11,"12,41408556","19,89436789"
Burseraceae,Protium guianense,"0,5860865","0,9749733002","3785,285424","1,24122417",17,"12,25493062","14,96056465"
Burseraceae,Protium opacum subsp. rabelianum,"0,6447285","0,8439748872","3091,596748","2,003265142",59,"13,20986028","23,07746675"
Burseraceae,Protium subserratum,"0,9941035","1,188441664","3020,569042","1,727651477",35,"15,11971959","26,5788755"
Caryocaraceae,Caryocar glabrum,"0,724376","1,055397416","3953,196934","1,224696696",11,"11,77746579","20,36387497"
Celastraceae,Monteverdia oblongata,"0,367544","1,286004863","2978,445151","1,752934456",13,"11,30000096","18,38239593"
Chrysobalanaceae,Couepia habrantha,"0,835124","0,8414552667","3193,418746","1,652738154",12,"12,89155039","17,50704374"
Chrysobalanaceae,Hirtella bicornis var. bicornis,"0,5158255","1,031568654","3499,009815","1,508736849",31,"12,73239545","17,18873385"
Chrysobalanaceae,Hymenopus heteromorphus,"0,55298875","0,7880898977","3471,825627","1,623978794",172,"11,77746579","17,50704374"
Chrysobalanaceae,Leptobalanus sprucei,"0,48546225","0,442010037","3291,221997","1,504125416",12,"10,66338119","12,25493062"
Chrysobalanaceae,Licania alba,"0,5033745","0,7263206102","3378,85882","1,551066399",171,"11,93662073","16,2338042"
Chrysobalanaceae,Licania canescens,"0,628407","0,6409602233","3404,145189","1,645789027",57,"11,77746579","16,87042397"
Chrysobalanaceae,Licania densiflora,"0,478044","0,7336264416","2885,922835","1,898914218",13,"11,77746579","16,55211408"
Chrysobalanaceae,Licania membranacea,"0,6493115","0,9792866777","3126,076259","1,726699233",187,"12,73239545","20,21267777"
Chrysobalanaceae,Licania micrantha,"0,4546275","0,661384217","4041,472224","1,410822868",17,"11,61831085","15,75633937"
Clusiaceae,Garcinia benthamiana,"0,6331665","0,6905666042","3789,714122","1,561429977",22,"11,77746579","14,65021251"
Clusiaceae,Garcinia madruno,"0,633989","0,7363675875","3306,67091","1,546247721",15,"11,77746579","16,2338042"
Clusiaceae,Moronobea coccinea,"0,44608975","0,8988909564","3422,936365","1,642614305",40,"12,41408556","20,57077639"
Clusiaceae,Symphonia globulifera,"0,9704365","1,479360083","2894,023471","4,537680149",26,"13,68732511","28,36141086"
Clusiaceae,Symphonia sp.1,"0,6146625","0,8765018894","3262,669077","1,633497477",117,"14,16478994","24,50986124"
Clusiaceae,Tovomita brevistaminea,"0,457982","0,5677435516","3047,98965","1,705784559",49,"11,30000096","13,20986028"
Clusiaceae,Tovomita caloneura,"0,5201835","0,5135336036","3639,89803","1,757511973",42,"11,30000096","14,64225476"
Clusiaceae,Tovomita obovata,"0,66285175","0,8367547265","3459,332839","1,676610053",28,"12,73239545","18,78028328"
Cordiaceae,Cordia sagotii,"0,81242425","0,8746951701","2166,894599","2,004781485",54,"12,41408556","17,02957891"
Dichapetalaceae,Tapura capitulifera,"0,4291405","0,8388311801","3725,464811","1,457233548",17,"10,98169107","12,41408556"
Euphorbiaceae,Conceveiba guianensis,"0,9520305","1,205971667","2950,457162","1,754402816",36,"12,73239545","17,18873385"
Euphorbiaceae,Hevea guianensis,"0,7107195","1,118635843","3359,543346","1,590734541",20,"11,93662073","17,18873385"
Euphorbiaceae,Mabea piriri,"0,820392","1,053773398","3064,491768","1,684625745",27,"12,25493062","17,98450857"
Euphorbiaceae,Sandwithia guyanensis,"0,4735645","0,4340969863","3620,956597","1,557554841",49,"10,66338119","12,04802919"
Fabaceae,Abarema jupunba var. jupunba,"1,792235","0,9342915835","2842,524682","1,698579073",29,"17,3478888","30,23943919"
Fabaceae,Albizia pedicellaris,"1,3978","0,979464512","2653,169437","1,765945554",66,"16,55211408","30,90788995"
Fabaceae,Andira coriacea,"0,8161565","1,161918113","3031,733534","1,99255836",13,"12,41408556","19,576058"
Fabaceae,Bocoa prouacensis,"0,532562","0,564687368","3218,187238","1,804242969",53,"11,61831085","15,43802948"
Fabaceae,Dicorynia guianensis,"0,5170885","0,859603721","3261,934313","1,709158301",77,"12,73239545","21,64507226"
Fabaceae,Eperua falcata,"0,582739","1,00858629","3196,008939","1,739796996",171,"12,25493062","20,05352283"
Fabaceae,Eperua grandiflora,"0,41935925","0,9250089554","3431,221962","1,704848289",110,"13,05070533","21,64507226"
Fabaceae,Inga alba,"2,272355","0,8061413756","2790,33632","1,791348219",89,"21,8042272","44,08591924"
Fabaceae,Inga cayennensis,"1,2424","0,6492424879","2494,175676","1,758327603",37,"14,16478994","21,64507226"
Fabaceae,Inga loubryana,"0,621227","1,089685465","3290,292255","1,495563626",37,"13,05070533","27,91577702"
Fabaceae,Inga marginata,"1,4302125","1,00114828","2493,624279","4,277747869",18,"18,14366351","28,68767849"
Fabaceae,Inga pezizifera,"2,55881","0,5679042177","3011,945754","1,842794836",39,"23,15704422","41,84183454"
Fabaceae,Inga rubiginosa,"1,586195","1,239167947","2575,804862","1,961472213",11,"16,55211408","25,01915705"
Fabaceae,Inga sarmentosa,"1,44973","0,5232429281","3144,13262","2,534837246",12,"13,68732511","21,29493139"
Fabaceae,Inga sp.12-CAY,"1,72363","0,75631765","3001,589548","1,932924986",18,"20,21267777","38,70648216"
Fabaceae,Inga thibaudiana,"2,764555","0,4120351232","2755,178713","1,600348771",12,"18,14366351","26,92901637"
Fabaceae,Ormosia coutinhoi,"0,4991405","1,166786089","2439,670348","1,77522105",20,"12,89155039","20,37183272"
Fabaceae,Parkia nitida,"1,62065","0,8021194148","2750,275467","1,790433288",27,"18,14366351","42,52620079"
Fabaceae,Parkia velutina,"0,651404","1,062178098","2965,836647","1,404711604",17,"12,73239545","19,41690306"
Fabaceae,Recordoxylon speciosum,"0,6093645","0,9595462518","3315,714359","1,840682745",43,"13,52817016","24,66901618"
Fabaceae,Swartzia polyphylla,"0,644041","0,2505948964","3073,654106","1,440141499",16,"6,916873827","12,09577567"
Fabaceae,Tachigali melinonii,"1,48011","0,6603463084","2860,830052","1,756427646",63,"19,09859317","47,74648293"
Fabaceae,Tachigali paraensis,"1,7527725","0,9098700096","3294,638529","1,548609972",16,"18,78028328","57,77324434"
Fabaceae,Vouacapoua americana,"0,626087","0,8086273432","3216,269837","1,702263474",54,"12,41408556","18,4619734"
Goupiaceae,Goupia glabra,"1,02377","0,9725693042","2049,798525","1,750652552",207,"12,73239545","20,53098766"
Hypericaceae,Vismia guianensis,"2,3573825","0,7973668517","2357,916583","1,819096506",48,"16,55211408","28,96619964"
Hypericaceae,Vismia latifolia,"2,927885","0,7683200588","2671,572293","1,76309073",64,"17,3478888","24,82817112"
Hypericaceae,Vismia sessilifolia,"1,59603","0,7229425977","2357,304681","2,359269619",51,"14,32394488","21,42225534"
Lauraceae,Ocotea percurrens,"0,80955775","0,7990990872","3750,967666","1,775093496",16,"12,25493062","19,41690306"
Lauraceae,Rhodostemonodaphne grandis,"1,2140375","1,315694645","2819,974985","1,553259492",28,"14,32394488","24,88387535"
Lecythidaceae,Couratari multiflora,"0,67160375","0,7961570154","3579,324151","1,584537387",32,"11,61831085","17,15690287"
Lecythidaceae,Eschweilera congestiflora,"0,59422475","0,916628638","3351,147497","1,621320724",30,"11,93662073","16,31338167"
Lecythidaceae,Eschweilera coriacea,"0,760335","0,9050906199","2865,825797","1,730715454",114,"12,09577567","17,50704374"
Lecythidaceae,Eschweilera decolorans,"0,34390175","1,086340059","3543,165139","1,721731544",12,"11,77746579","16,34521266"
Lecythidaceae,Eschweilera sagotiana,"0,5326525","0,7836453257","3298,991103","1,775616527",156,"11,77746579","16,71126902"
Lecythidaceae,Gustavia hexapetala,"0,429236","0,8542549188","3290,523347","1,744329631",76,"11,4591559","14,32394488"
Lecythidaceae,Lecythis persistens subsp. aurantiaca,"0,5308715","0,6741990197","3202,101675","1,804957747",390,"11,4591559","14,64225476"
Lecythidaceae,Lecythis poiteaui,"0,67381125","0,9817499782","3213,541721","1,955149233",22,"11,77746579","13,20986028"
Lecythidaceae,Lecythis zabucajo,"0,566523","0,930392255","2862,674688","2,073796749",11,"12,41408556","19,37711432"
Linaceae,Hebepetalum humiriifolium,"0,66884","0,7947089835","3320,232339","1,634813011",36,"13,20986028","19,89436789"
Malpighiaceae,Byrsonima aerugo,"1,590235","0,4176827228","2574,809853","2,09484911",37,"18,4619734","30,31105891"
Malpighiaceae,Byrsonima densa,"1,80017","0,4647630796","2534,165164","1,744131684",42,"17,18873385","28,58422778"
Malpighiaceae,Byrsonima laevigata,"1,069373","1,69937398","3005,698034","1,661282897",14,"14,80140971","25,97408671"
Malvaceae,Apeiba glabra,"0,8521035","0,9259131176","2085,320436","2,300106585",21,"14,16478994","21,32676237"
Malvaceae,Catostemma fragrans,"0,56428125","0,9281021656","3142,821799","1,985433936",70,"11,4591559","14,48309982"
Malvaceae,Eriotheca globosa,"0,772264","1,65113007","2610,679536","1,681084871",17,"13,20986028","26,49134028"
Malvaceae,Pachira dolichocalyx,"0,60414525","0,8223177656","3781,391419","1,354480982",16,"11,61831085","17,82535363"
Malvaceae,Sterculia pruriens,"1,51919","0,8106931711","2770,980358","1,862635851",181,"14,64225476","25,14648101"
Malvaceae,Theobroma guianense,"0,62274","1,004098794","3398,995685","1,812345505",34,"11,77746579","16,55211408"
Melastomataceae,Bellucia arborescens,"1,274765","0,5565706004","2856,008762","1,795802653",51,"17,82535363","33,10422816"
Melastomataceae,Henriettea flavescens,"1,330325","0,871082696","3411,667564","1,49960959",23,"11,61831085","14,15683219"
Melastomataceae,Miconia acuminata,"1,351455","0,6134178926","2664,906312","1,870865047",50,"14,00563499","19,09859317"
Melastomataceae,Miconia minutiflora,"1,743765","0,647188745","2805,44756","1,76387471",18,"15,91549431","24,81225563"
Melastomataceae,Miconia tschudyoides,"1,432735","0,5966437565","2643,31985","1,679781139",204,"14,00563499","18,4619734"
Melastomataceae,Mouriri crassifolia,"0,60412","0,7351422157","3648,624253","1,764396548",30,"12,09577567","18,01236068"
Melastomataceae,Votomita guianensis,"0,52710875","0,4355299988","3547,286743","1,694990218",14,"10,50422624","12,25493062"
Meliaceae,Carapa surinamensis,"0,850081","0,8474340329","3068,561092","1,962908983",96,"13,68732511","23,87324146"
Metteniusaceae,Dendrobangia boliviana,"0,6900995","1,042594568","3111,657911","1,633033335",42,"12,89155039","19,73521294"
Metteniusaceae,Poraqueiba guianensis,"0,7737005","0,7135841831","2966,995212","1,711937666",29,"12,25493062","16,55211408"
Moraceae,Brosimum guianense,"0,70047125","0,7449857727","3162,070536","1,535343111",14,"12,41408556","16,55211408"
Myristicaceae,Iryanthera hostmannii,"0,5498245","0,6081838843","3192,260267","2,101910591",30,"11,37957843","14,16478994"
Myristicaceae,Iryanthera sagotiana,"0,664223","0,873816644","3296,610647","1,736455381",74,"12,25493062","19,89436789"
Myristicaceae,Virola michelii,"0,954008","0,8125223395","3164,378631","1,693764985",82,"14,16478994","26,0059177"
Olacaceae,Chaunochiton kappleri,"0,733643","0,9433116012","3517,371367","2,655412793",18,"13,20986028","24,70880492"
Peraceae,Chaetocarpus schomburgkianus,"0,3846605","0,8419323422","3095,557682","1,714640021",25,"11,30000096","14,67408575"
Peraceae,Pogonophora schomburgkiana,"0,5163145","0,6251491592","3490,482071","1,722034931",237,"11,4591559","15,27887454"
Putranjivaceae,Drypetes fanshawei,"0,9683375","0,9385596718","2982,661772","1,850521684",12,"13,36901522","21,1278187"
Putranjivaceae,Drypetes variabilis,"0,5168915","0,8074884731","3255,364796","1,908397436",19,"11,77746579","17,63436769"
Rubiaceae,Duroia longiflora,"0,44612075","0,8346675965","3198,18548","1,815323055",14,"11,30000096","14,37169136"
Rubiaceae,Isertia coccinea,"1,862735","0,8991573992","2765,877552","2,145106792",38,"13,52817016","17,93676209"
Rubiaceae,Posoqueria latifolia,"0,3619465","1,207571792","3143,129456","1,952735543",13,"11,61831085","15,5255647"
Salicaceae,Casearia decandra,"1,21592","0,3954986346","2591,591764","1,700475931",13,"13,36901522","15,59718442"
Salicaceae,Laetia procera,"1,231485","1,075688597","2003,180871","2,160438061",279,"13,84648005","19,89436789"
Sapindaceae,Cupania scrobiculata,"0,5777605","0,7071115306","3245,447218","1,7128793",17,"12,41408556","16,07464925"
Sapindaceae,Talisia hexaphylla,"0,497986","0,7878680697","2803,394126","1,640981674",21,"11,4591559","13,84648005"
Sapindaceae,Talisia simaboides,"0,8166395","0,7013273558","3505,473055","1,644281745",11,"11,77746579","14,3955646"
Sapotaceae,Chrysophyllum sanguinolentum,"0,672114","0,710030863","3308,442845","1,585525155",23,"11,4591559","16,42479013"
Sapotaceae,Manilkara bidentata,"0,6357655","1,107307613","3187,339812","1,876330376",12,"12,97112786","19,2895791"
Sapotaceae,Micropholis guyanensis subsp. duckeana,"0,6724645","0,7840713155","2766,554422","1,807895541",11,"12,5732405","17,83331137"
Sapotaceae,Pouteria bangii,"1,03225","0,7538402389","3044,442268","1,396754622",11,"13,05070533","16,15422672"
Sapotaceae,Pouteria gonggrijpii,"0,654044","0,8114852207","3697,644774","1,518558443",14,"12,09577567","16,72718452"
Sapotaceae,Pouteria guianensis,"0,76785475","0,8356956925","2876,458275","1,759104252",16,"12,41408556","16,55211408"
Sapotaceae,Pradosia cochlearia,"0,47666425","0,9184546752","3563,589493","1,729122162",78,"11,93662073","17,50704374"
Simaroubaceae,Homalolepis cedron,"0,483552","0,527034068","3293,541245","1,671677768",68,"10,66338119","12,09577567"
Simaroubaceae,Simarouba amara,"1,861115","0,6213633247","2940,930262","1,765481114",22,"17,82535363","37,81521448"
Urticaceae,Cecropia obtusa,"4,49741","0,5604841476","2645,696467","1,821535945",240,"18,30281846","27,6929601"
Urticaceae,Cecropia sciadophylla,"3,48504","0,5647794508","2748,419507","1,831347227",309,"18,93943823","30,66915753"
Urticaceae,Pourouma bicolor subsp. bicolor,"1,4445275","0,8554295379","2838,62035","2,099356651",16,"14,64225476","30,97950967"
Urticaceae,Pourouma melinonii,"1,54414","0,7200200949","2736,228363","1,8029567",69,"17,50704374","31,35352379"
Violaceae,Amphirrhox longifolia,"0,4759895","0,4565061973","3692,950787","1,509613514",13,"10,66338119","12,25493062"
Vochysiaceae,Qualea rosea,"0,8961465","1,317921765","3197,550338","1,577047408",82,"14,16478994","28,01126998"